Phrase	Grammar	Transcription	Translation	Notes
جنيه		ginēh	funt	
نصّ جنيه		nuṣṣ ginēh	pół funta	
ربع جنيه		rubʿ ginēh	ćwierć funta	
فلوس		fulūs	pieniądze	
فكّة		fakka	drobne pieniądze	
خمسة جنيه		ḫamsa ginēh	pięć funtów	
عشرة جنيه		ʿašara ginēh	dziesięć funtów	
عشرين جنيه		ʿešrīn ginēh	dwadzieścia funtów	
خمسين جنيه		ḫamsīn ginēh	pięćdziesiąt funtów	
ميت جنيه		mīt ginēh	sto funtów	
قاموس		qamūs	słownik	
مسطرة		masṭara	linijka	
آستيكة		āstīka	gumka do ścierania	
قلم جاف		ʾalam gāf	pióro wieczne	
برّاية		barrāya	temperówka	
علبة مناديل		ʿilbit manādīl	pudełko chusteczek	
قلم رصاص		ʾalam ruṣāṣ	ołówek	
محفظة		maḥfaẓa	portfel	
مقلمة		maʾlama	piórnik	
شنطة		šanṭa	torba	
نضّارة		naḍḍāra	okulary	
ولّاعة		wallāʿa	zapalniczka	
رخيص		riḫīṣ	tani	
غالي		ġālī	drogi	
فازة		vāza	waza	
ورد		ward	kwiaty	
برواز		berwāz	rama	
أباجورة		abājūra	lampa stojąca	
طبق		ṭabaʾ	talerz	
جبنة		gibna	ser	
باكو زبدة		bākō zibda	paczka masła	
كيس سكّر		kīs sukkar	torebka cukru	
ازازة زيت		əzāzit zēt	butelka oliwy	
برطمان مربّة		barṭamān mirabba	słoik dżemu	
علبة حلاوة		ʿilbit ḥalāwa	pudełko chałwy	
كرتونة بيض		kartūna beyḍ	karton jaj	
صندوق ميّة		ṣundūʾ mayya	pudełko wody	
رزّ		ruzz	ryż	
عصير		ʿaṣīr	sok	
عسل		ʿasal	miód	
دقيق		diʾīʾ	mąka	
سمن		samn	masło klarowane	
عيش		ʿēš	chleb	
لو سمحت		law samaḥt	proszę; jeśli nie masz nic przeciwko	
عايز / عايزة		ʿāyez / ʾāyīza	chcę; potrzebuję	
عيش توست		ʿēš tost	chleb tostowy	
بسكوت		baskōt	herbatniki	
لستة		lista	lista	
آسف		āsif	przepraszam; przykro mi	
مافيش		māfīš	nie ma; nie jest dostępny	
بكام؟		bikam?	po ile? za ile?	
الحساب كام؟		Əl ḥisāb kam?	Ile wynosi rachunek?	
