Phrase	Grammar	Transcription	Translation	Notes
# === 1 ===
صباح الخير		ṣabāḥ əl-ḫēr	dzień dobry	
صباح النور		ṣabāḥ ən-nūr	dzień dobry	odpowiedź
مساء الخير		masāʾ əl-ḫēr	dobry wieczór	
مساء النور		masāʾ ən-nūr	dobry wieczór	odpowiedź
إزيك؟		Əzzayyak?	Jak się masz?	
كويس		kwayyis	dobrze	
الحمد لله		Əl-ḥamdu li l-Lāh	dzięki Bogu	
اسمي		Əsmī	nazywam się	
آسف		Āsif	przepraszam; przykro mi	
معلش		Maʿleš	nic nie szkodzi; nic się nie stało	
خلاص		ḫalāṣ	dość; wystarczy	
عامل إيه؟		ʿĀmel ē?	Jak się masz?	
كله تمام		Kullu tamām	Wszystko w porządku	
سلام		salām	cześć; pokój	
مع السلامة		Maʿa s-salāma	Do widzenia	
الله يسلمك		Al-Lāh yisallemak	Niech Bóg ci błogosławi	
أشوفك بكرة		Ašūfak bukra	Do zobaczenia jutro	
إن شاء الله		In šāʾ al-Lāh	Jeśli taka będzie wola boska	
الجنسيات		əl-gensiyyāt	narodowości	
مصري		Maṣrī	Egipcjanin	
أمريكي		Amrīkī	Amerykanin	
إنجليزي		Ənglīzī	Anglik	
هندي		Hindī	Hindus	
أنا مش من أمريكا		Anā miš min Amrīkā	Nie jestem z Ameryki	
أنا من		Anā min	Jestem z	
إنت منين؟		Ənta minēn?	Skąd jesteś?	
اتشرفنا		Ətšarrafnā	Bardzo nam miło; To zaszczyt	
الشرف ليا		Əš-šaraf liyya	Cała przyjemność po mojej stronie	
حضرتك ديفيد؟		Ḥaḍretak David?	Pan David?	
لا أنا مش ديفيد		Lā, anā miš David	Nie, nie jestem Davidem	
# === 2 ===
ده باب		Da bāb	To są drzwi	
ده فصل		Da faṣl	To jest klasa	
ده طالب		Da ṭālib	To jest student	
ده مدرّس		Da mudarris	To jest nauczyciel	
ده سبت		Da sabat	To jest kosz	
ده كتاب		Da kitāb	To jest książka	
ده قلم		Da qalam	To jest pióro	
ده كرسي		Da kursi	To jest krzesło	
ده شبّاك		Da šubbāk	To jest okno	
دي ساعة		Dī sāʿa	To jest zegarek	
دي حيطة		Dī ḥīṭa	To jest ściana	
دي كرّاسة		Dī karrāsa	To jest zeszyt	
دي مدرّسة		Dī mudarrisa	To jest nauczycielka	
دي طالبة		Dī ṭāliba	To jest studentka	
دي ترابيزة		Dī tarābēza	To jest stół	
دي سبّورة		Dī sabbūra	To jest tablica	
دي شمسيّة		Dī šamsiyya	To jest parasolka	
دي محفظة		Dī maḥfaẓa	To jest portfel	
دي نضّارة		Dī naḍḍāra	To jest szklanka	
دي مجلّة		Dī magalla	To jest czasopismo	
دي كاميرة		Dī kāmīra	To jest aparat fotograficzny	
ده جوانتي		Da guwāntī	To jest rękawiczka	
# === 3 ===
مظبوط		maẓbūṭ	dokładnie; właśnie	
نمرة تليفونك كام؟		Nimrit tilifōnak kam?	Jaki jest numer twojego telefonu?	
تمام		tamām	świetnie; doskonale	
مطعم		maṭʿam	restauracja	
لو سمحت		law samaḥt	proszę; jeśli nie masz nic przeciwko	
العفو		el-ʿafw	proszę bardzo; nie ma za co	
أيّ خدمة		ayy ḫidma	W czym mogę pomóc?	
عيادة		ʿiyāda	klinika; przychodnia	
موجود		mawgūd	obecny	
اتفضّل دلوقتي		ətfaḍḍal dilwaʾti	Proszę wejść teraz	
لا مش موجود		lā, miš mawgūd	nie, nie ma; nie, nie jest obecny	
نصّ		nuṣṣ	połowa	
ربع		rubʿ	ćwierć	
تلت		tilt	jedna trzecia	
السّاعة كام دلوقتي		Əs-sāʿa kam dilwaʾti?	Która jest teraz godzina?	
بالظبت		bəẓẓabt	dokładnie	
ساعتي مش مظبوطة		sāʿti miš maẓbūṭa	Mój zegarek źle chodzi	
دلوقتي		dilwaʾti	teraz	
حوالي		ḥawāli	około	
ساعتك كام؟		Sāʿtak kam?	Którą masz godzinę?	
التاريخ		ət-tārīḫ	data	
المدينة		əl-madīna	miasto	
شركة طيران		širkit ṭayarān	linia lotnicza	
امتى؟		əmta?	kiedy?	
نمرة الرحلة		nimrit ər-riḥla	numer lotu	
# === 4 ===
آسف		Āsif	przepraszam; przykro mi	
لو سمحت		law samaḥt	proszę; jeśli nie masz nic przeciwko	
جنيه		ginēh	funt	
نصّ جنيه		nuṣṣ ginēh	pół funta	
ربع جنيه		rubʿ ginēh	ćwierć funta	
فلوس		fulūs	pieniądze	
فكّة		fakka	drobne pieniądze	
خمسة جنيه		ḫamsa ginēh	pięć funtów	
عشرة جنيه		ʿašara ginēh	dziesięć funtów	
عشرين جنيه		ʿešrīn ginēh	dwadzieścia funtów	
خمسين جنيه		ḫamsīn ginēh	pięćdziesiąt funtów	
ميت جنيه		mīt ginēh	sto funtów	
قاموس		qamūs	słownik	
مسطرة		masṭara	linijka	
آستيكة		āstīka	gumka do ścierania	
قلم جاف		ʾalam gāf	pióro wieczne	
برّاية		barrāya	temperówka	
علبة مناديل		ʿilbit manādīl	pudełko chusteczek	
قلم رصاص		ʾalam ruṣāṣ	ołówek	
محفظة		maḥfaẓa	portfel	
مقلمة		maʾlama	piórnik	
شنطة		šanṭa	torba	
نضّارة		naḍḍāra	okulary	
ولّاعة		wallāʿa	zapalniczka	
رخيص		riḫīṣ	tani	
غالي		ġālī	drogi	
فازة		vāza	waza	
ورد		ward	kwiaty	
برواز		berwāz	rama	
أباجورة		abājūra	lampa stojąca	
طبق		ṭabaʾ	talerz	
جبنة		gibna	ser	
باكو زبدة		bākō zibda	paczka masła	
كيس سكّر		kīs sukkar	torebka cukru	
ازازة زيت		əzāzit zēt	butelka oliwy	
برطمان مربّة		barṭamān mirabba	słoik dżemu	
علبة حلاوة		ʿilbit ḥalāwa	pudełko chałwy	
كرتونة بيض		kartūna beyḍ	karton jaj	
صندوق ميّة		ṣundūʾ mayya	pudełko wody	
رزّ		ruzz	ryż	
