Phrase	Grammar	Transcription	Translation	Notes
Сіз			Wy
Сіздің			Wasz
ат			imię
атыңыз			Wasze imię
атың			twoje imię
кім?			kto?
Сіздің атыңыз кім?			Jak macie na imię?
Сенің атың кім?			Jak masz na imię?
менің атым			moje imię
үй			dom
үйіңіз			Wasz dom
үйің			twój dom
қай?			jaki?
қайда?			gdzie?
Сіздің үйіңіз қайда?			Gdzie mieszkacie?
Сенің үйің қайда?			Gdzie mieszkasz?
менің үйім			mój dom
Алматы			Ałma-Ata
Алматыда			w Ałma-Acie
қандай?			jaki?
қайыр			dobro
қайырым			dobroć
қайырымды			dobry
және			i	spójka
ақыл			rozum
ақылды			mądry
Астана			Astana
Астанада			w Astanie
сіңлі			młodsza siostra	dla siostry
сіңлің			twoja młodsza siostra
сіңлім			moja młodsza siostra
жас			młody
әдемі			piękny
сендердің аттарың			wasze imiona
біздің аттарымыз			nasze imiona
сендердің үйлерің			wasze domy
Таразда			w Tarazie
Шымкентте			w Szymkencie
сендердің достарың			wasi przyjaciele
біздің достарымыз			nasi przyjaciele
сабыр			spokój; cierpliwość, opanowanie
сабырлы			spokojny; cierpliwy; opanowany
сабырсыз			niespokojny; niecierpliwy; nieopanowany
байсал			spokój; równowaga; solidność
байсалды			spokojny; zrównoważony; solidny
зор			duży; wielki
бай			bogaty
байлық			bogactwo
күш			siła; moc
күшті			silny
күшсіз			słaby
әл			siła; moc
әлді			silny; majętny
әлсіз			słaby; ubogi
толу			tyć
толық			otyły; spasiony
арық			chudy; wychudzony
еңбек			praca; trud
еңбекшіл			pracowity
еріну			lenić się
еріншек			leniwy
көңіл			nastrój; stan ducha
көңілді			wesoły; radosny
көнілсіз			smutny
бақыт			szczęście
бақытты			szczęśliwy
бақытсыз			nieszczęśliwy
әділет			sprawiedliwość; uczciwość
әділетті			sprawiedliwy; uczciwy
әділетсіз			niesprawiedliwy; nieuczciwy
ажар			wygląd zewnętrzny; kolor twarzy
ажарлы			ładny; sympatyczny
ажарсыз			nieładny; brzydki
