Phrase	Grammar	Transcription	Translation	Notes
der Name			imię; nazwisko	
der Vorname			imię	
die Familie			rodzina	
die Eltern			rodzice	
der Vater			ojciec	
die Mutter			matka	
die Geschwister			rodzeństwo	
das Datum			data	
der Ort			miejsce; miejscowość	
die Stadt			miasto	
das Dorf	n		wieś	
der Beruf			zawód	
der Betrieb			przedsiębiorstwo; fabryka	
die Ursache	f		przyczyna; powód	
das Papier	n		papier	
werden	vi		stać się; zostać	
kommen			przychodzić; pochodzić	
stammen	vi		pochodzić; wywodzić się	
leben			żyć	
wohnen			mieszkać	
besuchen			odwiedzać; zwiedzać	
glauben			sądzić; wierzyć	
prüfen			sprawdzać	
ablegen	vt		odkładać; składać	np. egzamin
anfangen	vt/vi		zaczynać	
bereit	a		gotowy	
vorbereiten	vt		przygotować	
geboren sein	vi		być urodzonym	
voll			pełny	
einander	pron		nawzajem; wzajemnie	
null			zero	
eins			jeden	
zwei			dwa	
drei			trzy	
vier			cztery	
fünf			pięć	
sechs			sześć	
sieben			siedem	
acht			osiem	
neun			dziewięć	
zehn			dziesięć	
elf			jedenaście	
zwölf			dwanaście	
dreizehn			trzynaście	
vierzehn			czternaście	
fünfzehn			piętnaście	
sechzehn			szesnaście	
siebzehn			siedemnaście	
achtzehn			osiemnaście	
neunzehn			dziewiętnaście	
zwanzig			dwadzieścia	
dreißig			trzydzieści	
vierzig			czterdzieści	
fünfzig			pięćdziesiąt	
sechzig			sześćdziesiąt	
siebzig			siedemdziesiąt	
achtzig			osiemdziesiąt	
neunzig			dziewięćdziesiąt	
hundert			sto	
tausend			tysiąc	
eine Million			milion	
