Phrase	Grammar	Transcription	Translation	Notes
la camiseta			koszulka	
gris			szary	
de manga larga			z długim rękawem	
el modelo			model	
la talla mediana			średni rozmiar	
la talla grande			duży rozmiar	
azul			niebieski	
corto			krótki	
de manga corta			z krótkim rękawem	
blanco			biały	
naranja			pomarańcza	
rojo			czerwony	
de rayas			w paski	
amarillo			żółty	
rosa			różowy	
marrón			brązowy	
verde			zielony	
lila			liliowy	
el gel de baño			płyn do kąpieli	
el jersey			sweter	
el pantalón			spodnie	
el biquini			bikini	
las bragas			majtki	
el sujetador			biustonosz	
la sandalia			sandały	
la toalla			ręcznik	
las gafas de sol			okulary przeciwsłoneczne	
la aspirina			aspiryna	
el discman			diskman	
el carné de identidad			dowód tożsamości	
el dinero			pieniądze	
la tarjeta de crédito			karta kredytowa	
el cepillo			szczotka	
el cepillo de dientes			szczoteczka do zębów	
la pasta de dientes			pasta do zębów	
el protector solar			filtr przeciwsłoneczny	
el champú			szampon	
el secador de pelo			suszarka do włosów	
llevar			zabrać ze sobą	
siempre			zawsze	
nunca			nigdy	
el despertador			budzik	
el extranjero			zagranica	
alquilar			wynająć	
el coche			samochód	
tomar el sol			opalać się	
la fiesta de cumpleaños			przyjęcie urodzinowe	
tener que			musieć	
el carné de conducir			prawo jazdy	
la ropa de deporte			ubranie sportowe	
el regalo			prezent	
el pasaporte			paszport	
la botella			butelka	
el postre			deser	
barato			tani	
preferir			woleć	
caro			drogi	
desear			życzyć sobie; pożądać	
quería			chciałbym	
costar			kosztować	
¿cuánto?			ile?	
el céntimo			cent	
vale			w porządku	
decir			powiedzieć	
algo			coś	
usar			używać	
viejo			stary	
la maleta			walizka	
el perfume			perfumy	
el padre			ojciec	
la madre			matka	
beis			beżowy	
el agua	f		woda	
el gorro			czapka	
las gafas			okulary	
el cliente			klient	
la clienta			klientka	
el vendedor			sprzedawca	
la vendedora			sprzedawczyni	
el hombre			mężczyzna	
la mujer			kobieta	
el niño			chłopiec	
la niña			dziewczynka	
el cámping			kemping	
la cámara de fotos			aparat fotograficzny	
la guía			przewodnik	
abrir			otworzyć	
primer			pierwszy	
la tienda			sklep	
la tienda de ropa			sklep z ubraniami	
la creación			kreacja	
el grupo			grupa	
la empresa			przedsięiorstwo	
diciembre	m		grudzień	
inaugurar			inaugurować	
fuera de			poza; na zewnątrz	
Portugal	m		Portugalia	
los Estados Unidos	pl		Stany Zjednoczone	
siguiente			kolejny; następny	
el mercado			rynek	
iniciar			zaczynać; wprowadzać	
la apertura			otwarcie	
la cadena			łańcuch	
la moda			moda	
de moda			modny	
continuar			kontynuować	
la expansión			ekspansja	
internacional			międzynarodowy	
Grecia	f		Grecja	
Bélgica	f		Belgia	
Suecia	f		Szwecja	
Malta	f		Malta	
Chipre	m		Cypr	
Noruega	f		Norwegia	
Israel	m		Izrael	
dirigir			kierować	
el público			publiczność	
femenino			kobiecy	
Japón	m		Japonia	
Turquía	f		Turcja	
los Emiratos Árabes	pl		Emiraty Arabskie	
Líbano	m		Liban	
Kuwait	m		Kuwejt	
el Reino Unido			Zjednoczone Królestwo	
Holanda	f		Holandia	
Alemania	f		Niemcy	
Polonia	f		Polska	
Arabia Saudí	f		Arabia Saudyjska	
Bahrein	m		Bahrajn	
Canadá	m		Kanada	
Austria	f		Austria	
Dinamarca	f		Dania	
Qatar	m		Katar	
Andorra	f		Andora	
construir			budować	
la sede central			siedziba główna	
empezar			zaczynać	
la bolsa			giełda	
cotizar en bolsa			być notowanym na giełdzie	
introducirse			być wprowadzonym	
Jordania	f		Jordania	
Irlanda	f		Irlandia	
Islandia	f		Islandia	
Luxemburgo	m		Luksemburg	
la República Checa			Republika Czeska	
Italia	f		Włochy	
dedicado a			poświęcony	komu? czemu?
la lencería			bielizna	
imparable			niepowstrzymany	
el crecimiento			wzrost	
Suiza	f		Szwajcaria	
Finlandia	f		Finlandia	
Singapur	m		Singapur	
la marca			znak; marka	
infantil			dziecięcy	
Rusia	f		Rosja	
Malasia	f		Malezja	
Eslovenia	f		Słowenia	
Eslovaquia	f		Słowakia	
especializarse en			spacjalizować się w	
el hogar			dom	
la cosmética			kosmetyk	
convertirse en			przekształcić się w	
octavo			ósmy	
el formato			format	
comercial			handlowy	
Estonia	f		Estonia	
Letonia	f		Łotwa	
Lituania	f		Litwa	
Hungría	f		Węgry	
Marruecos	m		Maroko	
Rumanía	f		Rumunia	
