Phrase	Grammar	Transcription	Translation	Notes
آقا		āqā	pan	
الاغ		olāq	osioł	
اهل		ahl	mieszkaniec	
اهل تبریز		ahl-e Tabriz	Tebryzyjczyk	
اهل تهران		ahl-e Tehrān	teherańczyk	
اهل مسکو		ahl-e Moskow	moskwiczanin	
باغ		bāġ	sad	
پزشک		pezešk	lekarz	
چراغ		čerāġ	lampa	
چشم پزشک		češmpezešk	okulista	
خارجی		xāreji	cudzoziemiec	
خانم		xānom	pani	
دهقان		dehqān	wieśniak	
رفیق		rafiq	towarzysz	
غروب		ġorub	zachód	
فرودگاه		forudgāh	lotnisko	
فروشگاه		forušgāh	supermarket	
فوتبالیست		futbālist	piłkarz	
قلم		qalam	pióro do pisania	
قند		qand	cukier	
قندان		qandān	cukiernica	
قوری		quri	czajnik	
قیچی		qeyči	nożyce	
کاغذ		kāġaz	papier	
مداد		medād	ołówek	
نقاش		naqqāš	artysta	
نویسنده		nevisande	pisarz	
ورزشکار		varzeškār	sportowiec	
