Phrase	Transcription	Notes
{{c1::اِسْمَكْ إِيهْ::Jak się nazywasz}}؟	{{c1::Esmak ē}}?	r.m.
{{c1::اِسْمِي::Nazywam się}} دَاود.	{{c1::Esmī}} Dāwud.
{{c1::اِسْمِي::Nazywam się}} مَحَمَّد.	{{c1::Esmī}} Maḥammad.
{{c1::اِسْمِي::Nazywam się}} خَالِد.	{{c1::Esmī}} Ḫāled.
{{c1::اِسْمِي::Nazywam się}} عَبْد الرَّحْمَن.	{{c1::Esmī}} ʿAbd er-Raḥmān.
{{c1::اِسْمِي::Nazywam się}} عَبْدَالله.	{{c1::Esmī}} ʿAbd el-Lāh.
{{c1::أنَا::Jestem}} أَحْمَد.	{{c1::Anā}} Aḥmad.
{{c1::أنَا اِسْمِي::Ja nazywam się}} أَحْمَد.	{{c1::Anā esmī}} Aḥmad.
{{c1::اِسْمِكْ إِيهْ::Jak sie nazywasz}}؟	{{c1::Esmik ē}}?	r.ż.
{{c1::اِسْمِي::Nazywam się}} فَاطِمَة.	{{c1::Esmī}} Fāṭima.
{{c1::اِسْمِي::Nazywam się}} لَيْلَى.	{{c1::Esmī}} Laylā.
{{c1::اِسْمِي::Nazywam się}} هَاجَر.	{{c1::Esmī}} Hāgar.
{{c1::اِسْمِي::Nazywam się}} دُعَاء.	{{c1::Esmī}} Doʿāʾ.
{{c1::أنَا::Jestem}} جِهَاد.	{{c1::Anā}} Gihād.
{{c1::أنَا اِسْمِي::Ja nazywam się}} جَنَة.	{{c1::Anā esmī}} Ganna.
{{c1::اِسْمِي::Nazywam się}} خَدِيجَة.	{{c1::Esmī}} Ḫadīga.
{{c1::اِسْمِي::Nazywam się}} أَسْمَاء.	{{c1::Esmī}} Asmāʾ.
{{c1::اِسْمُكُوا إِيهْ::Jak się nazywacie}}؟	{{c1::Esmukū ē}}?
{{c1::اِسْمِنَا::Nazywamy się}} دَاود وِ خَدِيجَة.	{{c1::Esmnā}} Dāwud wi Ḫadīga.
{{c1::إِحْنَا::Jesteśmy}} فَاطِمَة وِهَاجَر وَمَحَمَّد.	{{c1::Iḥnā}} Fāṭima wi Hāgar wi Maḥammad.
{{c1::الشَّرَفْ لِيَّا::Cała przyjemność po mojej stronie}}.	{{c1::Eš-šaraf liyya}}.
{{c1::تَشَرَّفْنَا::To zaszczyt}}.	{{c1::Tašarrafnā}}.
{{c1::فُرْصَةْ سَعِيدَة::Bardzo mi miło}}.	{{c1::Furṣa saʿīda}}.
{{c1::فُرْصَةْ لَطِيفَة::Co za szczęśliwa okazja}}.	{{c1::Furṣa laṭīfa}}.
{{c1::أنَا سَعِيد::Cieszę się}} {{c2::إِنِي شُوفْتَكْ::że cię widzę}}.	{{c1::Anā saʿīd}} {{c2::innī šūftak}}.	r.m./r.m.
{{c1::أنَا فَرْحَانْ::Cieszę się}} {{c2::إِنِي شُوفْتَكْ::że cię widzę}} النَّهَارْدَة.	{{c1::Anā farḥān}} {{c2::innī šūftak}} en-nahār-da.	r.m./r.m.
{{c1::أنَا فَرْحَانْ::Cieszę się}} {{c2::إِني شُوفْتِكْ::że cię widzę}}.	{{c1::Anā farḥān}} {{c2::innī šūftik}}.	r.m./r.ż.
{{c1::أنَا سَعِيدْ::Cieszę się}} {{c2::إِنِي شُوفْتُكُمْ::że was widzę}}.	{{c1::Anā saʿīd}} {{c2::innī šūftukum}}.	r.m.
{{c1::أنَا فَرْحَانَةْ::Cieszę się}} {{c2::إِنِي شُوفْتِكْ::że cię widzę}}.	{{c1::Anā farḥāna}} {{c2::innī šūftik}}.	r.ż./r.ż.
{{c1::أنَا سَعِيدَةْ::Cieszę się}} {{c2::إِنَي شُوفْتَكْ::że cię widzę}}.	{{c1::Anā saʿīda}} {{c2::innī šūftak}}.r.ż./r.m.	
{{c1::أنَا سَعِيدَةْ::Cieszę się}} {{c2::إِنِي شُوفْتُكُوا::że was widzę}}.	{{c1::Anā saʿīda}} {{c2::innī šūftukū::}}.	r.ż.
{{c1::إِنْتَ مِنِينْ::Skąd jesteś}}؟	{{c1::Enta minēn}}?	r.m.
أنَا {{c1::مِنْ بُولَنْدَا::z Polski}}.	Anā {{c1::min Būlandā}}.
أنَا {{c1::مِنْ مَصْر::z Egiptu}}.	Anā {{c1::min Maṣr}}.
أنَا {{c1::مِنْ الْمَغْرِب::z Maroko}}.	Anā {{c1::min el-Maġreb}}.
أنَا {{c1::مِنْ السُّعُودِية::z Arabii Saudyjskiej}}.	Anā {{c1::min es-Suʿūdiyya}}.
أنَا {{c1::مِنْ أَمْرِيكَا::z Ameryki}}.	Anā {{c1::min Amrīkā}}.
