Phrase	Grammar	Transcription	Translation	Notes
сӯҳбат			rozmowa; dialog	
кадом			jaki	
вай			tamto; on; ona; ono	
қалам			pióro do pisania; długopis	
он			tamten	
хонум			pani; proszę pani	
шумо			wy	
гӯед			powiedzcie	
акнун			teraz	
назди...			obok ...	
чӣ хел?			jaki?	
тар			mokry	
қуттича			małe pudełko	
қуттӣ			pudło	
ном			imię	
исм			imię	
насаб			nazwisko	
Номи (исми) шумо чист?				
Чӣ ном дорӣ?			Jak masz na imię?	
Номи ман ... аст.			Nazywam się ...	
Фамилияи (насаби) шумо чист?				
Фамилияам (насабам) ... аст.			Moje nazwisko to ...	
