Phrase	Grammar	Transcription	Translation	Notes
орманшы			leśnik	
балалары			jego dzieci	
көршілес			po sąsiedzku	
бірге			razem	
өте			bardzo	
оныншы			dziesiąty	
оларды			ich	
дос			przyjaciel	
оның			jego; jej	
олармен			z nimi	
екеуі			we dwójkę	
ойнайды			gra; grają	
тату			przyjacielski	
бітіреді			kończy; kończą	
жақсы көреміз			lubimy ich	
ауладық			łapali	
балық			ryba	
бірі			jeden z	
келдік			przyszli; przyjechali	
кешке			wieczorem	
көз			oko; oczy	
көп			duży	
қаладан			z miasta	
өгіз			wół	
өзім			ja sam; ja sama	
өмір			życie	
өзен			rzeka	
өнер			sztuka	
өрнек			wzór	
өткір			ostry	
су			woda	
төрт			cztery	
төсек			pościel	
шомылдық			kąpali się	
