Phrase	Grammar	Transcription	Translation	Notes
Αγγλία			Anglia	
Άγγλος			anglik	
Αγγλίδα			angielka	
Αίγυπτος			Egipt	
Αιγύπτιος			egipcjanin	
Αιγύπτια			egipcjanka	
Αμερική			Ameryka	
Αμερικανός			amerykanin	
Αμερικανίδα			amerykanka	
Αργεντινή			Argentyna	
Αργεντινός			argentyńczyk	
Αργεντινίδα			argentynka	
Αυστραλία			Australia	
Αυστραλός			australijczyk	
Αυστραλέζα			australijka	
Αυστρία			Austria	
Αυστριακός			austryjak	
Αυστριακά			austryjaczka	
Βέλγιο			Belgia	
Βέλγος			belg	
Βελγίδα			belgijka	
Γαλλία			Francja	
Γάλλος			francuz	
Γαλλίδα			francuzka	
Γερμανία			Niemcy	
Γερμανός			niemiec	
Γερμανίδα			niemka	
Δανία			Dania	
Δανός			duńczyk	
Δανέζα			dunka	
Ελβετία			Szwajcaria	
Ελβετός			szwajcar	
Ελβετίδα			szwajcarka	
Ελλάδα			Grecja	
Έλληνας			grek	
Ελληνίδα			greczynka	
Ιαπωνία			Japonia	
Ιάπωνας			japończyk	
Γιαπωνέζα			japonka	
Ισπανία			Hiszpania	
Ισπανός			hiszpan	
Ισπανίδα			hiszpanka	
Ιταλία			Włochy	
Ιταλός			włoch	
Ιταλίδα			włoszka	
Καναδάς			Kanada	
Καναδός			kanadyjczyk	
Καναδέζα			kanadyjka	
Κίνα			Chiny	
Κινέζος			chińczyk	
Κινέζα			chinka	
Κύπρος			Cypr	
Κύπριος			cypryjczyk	
Κύπρια			cypryjka	
Ολλανδία			Holandia	
Ολλανδός			holender	
Ολλανδέζα			holenderka	
Πορτογαλία			Portugalia	
Πορτογάλος			portugalczyk	
Πορτογαλίδα			portugalka	
Ρωσία			Rosja	
Ρώσος			rosjanin	
Ρωσίδα			rosjanka	
Σουηδία			Szwecja	
Σουηδός			szwed	
Σουηδέζα			szwedka	
Τουρκία			Turcja	
Τούρκος			turek	
Τουρκάλα			turczynka	
εργάτης			robotnik	
τεχνικός			technik	
σερβιτόρος			kelner	
σερβιτόρα			kelnerka	
ιατρός			lekarz	
δικηγόρος			prawnik	
οδοντίατρος			dentyska	
μάγειρας			kucharz	
καλλιτέχνης			artysta	
ηθοποιός			aktor; aktorka	
καθηγητής			profesor	
καθηγήτρια			profesorka	
δάσκαλος			nauczyciel	
δασκάλα			nauczycielka	
μηχανικός			inżynier	
αρχιτέκτονας			architekt	
έμπορος			kupiec	
υπάλληλος			pracownik	
νοσοκόμα			pielęgniarka	
υδραυλικός			hydraulik	
μοδίστρα			krawcowa	
ζωγράφος			malarz	
συγγραφέας			pisarz	
γραμματέας			sekretarz	
ταμίας			kasjer	
οδηγός			kierowca	
διευθυντής			dyrektor	
αστυνομικός			policjant	
μουσικός			muzyk	
συνθέτης			kompozytor	
δικαστής			sędzia	
φοιτητής			student	
πωλητής			sprzedawca	
πωλήτρια			sprzedawczyni	
καλήμέρα			dzień dobry	
καλησπέρα			dobry wieczór	
καληνύχτα			dobranoc	
χαίρετε			dzień dobry	
γεια σου			cześć	tobie
γεια σας			cześć	wam
αντίο			do widzenia	
ευχαρίστως			z przyjemnością	
ευχαριστώ			dziękuję	
είμαι από ...			jestem z ...	
ο κύριος			pan	
η κυρία			pani	
το παιδί			dziecko	
τα παιδιά			dzieci	
ο πατέρας			ojciec	
η μητέρα			matka	
οι γονείς			rodzice	
τ'αδέλφια			bracia	
η δουλειά			praca; robota	
δουλεύω			pracować	
διαβάζω			studiować; czytać	
το πράγμα			rzecz	
πολύ			dużo	
πάρα πολύ			bardzo	
η χώρα			kraj	
η υπηκοότητα			narodowość	
καλά			dobrze	
έτσι κι έτσι			tak sobie	
καλόν ύπνο			pięknych snów	
ο ύπνος			sen	
οι χαιρετισμοί			pozdrowienia	
μαζί			razem	
θέλω			chcieć	
ό,τι			co; cokolwiek	
από			z; od	
