Phrase	Grammar	Transcription	Translation	Notes
der Handschuh			rękawiczka	
der Mantel			płaszcz	
der Pullover			sweter	
der Rock			spódnica	
der Schal			szal	
der Schuh			but	
das Hemd			koszula	
das Kleid			sukienka	
das T-Shirt			koszulka	
die Bluse			bluzka	
die Hose			spodnie	
die Jacke			kurtka; marynarka	
die Kleidung			ubranie	
die Mütze			czapka	
die Socke			skarpetka	
schwer			ciężki	
leicht			lekki	
lang			długi	
kurz			krótki	
schön	a		ładny; piękny	
hässlich			brzydki	
dick			gruby	
dünn			cienki; chudy	
modisch			modny	
praktisch			praktyczny	
bequem			wygodny	
blau			niebieski	
braun			brązowy	
gelb			żółty	
grau			szary; siwy	
grün			zielony	
rot			czerwony	
schwarz			czarny	
weiß			biały	
ein paar			kilka; parę	
die Jahreszeit			pora roku	
der Winter			zima	
der Sommer			lato	
der Herbst			jesień	
der Frühling			wiosna	
kühl			chłodny	
zu			do; zbyt	
die Markenkleidung			odzież markowa	
schick			szykowny	
das Geschenk			prezent	
das Kaufhaus			dom towarowy	
Kann ich Ihnen helfen?			W czym mogę pomóc?	
die Größe			rozmiar	
die Farbe			kolor	
