Phrase	Grammar	Transcription	Translation	Notes
爱情	àiqíng	love (romantic)	HSK 4
安排	ānpái	arrangement	HSK 4
安全	ānquán	safety	HSK 4
包子	bāozi	steamed (stuffed) bun	HSK 4
表格	biǎogé	form, table	HSK 4
表演	biǎoyǎn	play; show; performance; exhibition; to perform; to act; to demonstrate	HSK 4
标准	biāozhǔn	standard	HSK 4
饼干	bǐnggān	cracker, cookie	HSK 4
博士	bóshì	Ph.D. (degree); doctor	HSK 4
部分	bùfen	part, section	HSK 4
材料	cáiliào	material	HSK 4
餐厅	cāntīng	restaurant	HSK 4
厕所	cèsuǒ	toilet, restroom	HSK 4
长城	Chángchéng	the Great Wall of China	HSK 4
长江	Cháng Jiāng	the Yangtze River	HSK 4
成功	chénggōng	success	HSK 4
窗户	chuānghu	window	HSK 4
厨房	chúfáng	kitchen	HSK 4
词语	cíyǔ	word, expression	HSK 4
错误	cuòwù	error, mistake; mistaken	HSK 4
答案	dá'àn	answer	HSK 4
大夫	dàifu	doctor	HSK 4
当时	dāngshí	at that time	HSK 4
刀	dāo	knife	HSK 4
导游	dǎoyóu	tour guide	HSK 4
大使馆	dàshǐguǎn	embassy	HSK 4
登机牌	dēngjīpái	boarding pass	HSK 4
底	dǐ	bottom, base	HSK 4
调查	diàochá	survey	HSK 4
地点	dìdiǎn	site, location	HSK 4
地球	dìqiú	the Earth	HSK 4
地址	dìzhǐ	address	HSK 4
动作	dòngzuò	movement	HSK 4
短信	duǎnxìn	text message	HSK 4
对话	duìhuà	dialog	HSK 4
对面	duìmiàn	opposite to, across from	HSK 4
肚子	dùzi	belly, abdomen	HSK 4
儿童	értóng	children	HSK 4
法律	fǎlǜ	law	HSK 4
房东	fángdōng	landlord	HSK 4
方法	fāngfǎ	method	HSK 4
方面	fāngmiàn	aspect	HSK 4
方向	fāngxiàng	direction	HSK 4
翻译	fānyì	translation, translator	HSK 4
付款	fùkuǎn	payment	HSK 4
父亲	fùqin	father	HSK 4
感觉	gǎnjué	sense perception; sensation, feeling	HSK 4
感情	gǎnqíng	deep affection for sb or sth; relationship (i.e. love affair)	HSK 4
高速公路	gāosù gōnglù	expressway	HSK 4
胳膊	gēbo	arm	HSK 4
功夫	gōngfu	kung fu; effort	HSK 4
工资	gōngzī	wages, pay	HSK 4
广播	guǎngbō	broadcast; to broadcast	HSK 4
广告	guǎnggào	advertisement	HSK 4
关键	guānjiàn	key (issue)	HSK 4
管理	guǎnlǐ	management	HSK 4
观众	guānzhòng	audience (of a stage performance or visual media)	HSK 4
规定	guīdìng	regulation, rule	HSK 4
顾客	gùkè	customer	HSK 4
鼓励	gǔlì	encouragement	HSK 4
过程	guòchéng	course; process	HSK 4
国籍	guójí	nationality	HSK 4
国际	guójì	international	HSK 4
果汁	guǒzhī	fruit juice	HSK 4
海洋	hǎiyáng	ocean	HSK 4
汗	hàn	sweat, perspiration	HSK 4
航班	hángbān	flight	HSK 4
寒假	hánjià	winter vacation	HSK 4
好处	hǎochù	benefit	HSK 4
号码	hàomǎ	number	HSK 4
盒子	hézi	box, case	HSK 4
互联网	Hùliánwǎng	the Internet	HSK 4
活动	huódòng	activity, event	HSK 4
护士	hùshi	nurse	HSK 4
价格	jiàgé	price	HSK 4
家具	jiājù	furniture	HSK 4
奖金	jiǎngjīn	bonus	HSK 4
将来	jiānglái	in the future	HSK 4
建议	jiànyì	suggestion, recommendation	HSK 4
