Phrase	Grammar	Transcription	Translation	Notes
כָּתַב			napisał	
לִכְתּוֹב			pisać	
מִכְתָּב			list	
לָמַד			uczył się	
לִלְמוֹד			uczyć się	
גָּמַר			zakończył	
לִגְמוֹר			skończyć	
סָגַר			zamknął; wyłączył	
לִסְגּוֹר			zamykać; wyłączać	
מָסַר			przekazał	
לִמְסוֹר			przekazywać	
שָׁמַר			przestrzegał	
שָׁמַר עַל			strzegł; ochraniał	
לִשְׁמוֹר			przestrzegać	
לִשְׁמוֹר עַל			strzec; chronić	
שָׁקַל			ważył; rozważał	
לִשְׁקוֹל			ważyć; rozważać	
שָׁטַף			mył; płukał	
לִשְׁטוֹף			myć; płukać	
שָׁתַק			milczał	
לִשְׁתּוֹק			milczeć	
