Phrase	Grammar	Transcription	Translation	Notes
legenda			legend	
foo			foo	
fighters			fighters	
california			california	
melacak			track	
berkomunikasi			communicate	
menutup			close	
serangkaian			series	
pintu			door	
sarang			nest	
gagal			failed	
melewati			through	
kerak			crust	
kedalaman			depth	
sembilan			nine	
jauhnya			away	
hangat			warm	
enceladus			Enceladus	
arroway			arroway	
asli			original	
melawan			against	
normal			normal	
band			bands	
keamanan			security	
membunuh			kill	
kelahiran			birth	
mendarat			landed	
memukul			hit	
dramatis			dramatic	
korupsi			corruption	
penyakit			disease	
beredar			circulate	
pilihan			selection	
efektif			effective	
mineral			mineral	
nasib			fate	
saksi			witness	
menyebar			spread	
stabil			stable	
pindah			move	
kawin			marry	
rumput			grass	
berburu			hunt	
dilaporkan			reported	
suci			holy	
angeles			angeles	
sagan			sagan	
lava			lava	
osiris			Osiris	
poin			points	
sebaliknya			conversely	
permainan			game	
penjelajah			Explorer	
serius			serious	
gereja			church	
materi			material	
memastikan			ensure	
pemburu			hunter	
mengalami			experience	
rangka			framework	
vulkanik			volcanic	
ingat			remember	
diberi			be given	
gila			crazy	
menghadapi			face	
kenyataan			reality	
selesai			finished	
bepergian			travel	
mendeteksi			detected	
mengatasi			resolve	
suka			like	
bergetar			vibrate	
menimbulkan			inflict	
percobaan			trial	
ternyata			evidently	
mundur			retreat	
islandia			Iceland	
inflasi			inflation	
pertanian			agriculture	
tradisional			traditional	
menghormati			respect	
kering			dry	
panen			harvest	
mendapatkannya			get it	
terumbu			reef	
dna			dna	
bukit			Hill	
menggali			dig	
arkeolog			archaeologist	
kalender			calendar	
seager			Seager	
cholula			cholula	
roswell			roswell	
uap			steam	
its			its	
eksplorasi			exploration	
nasional			national	
ambil			take	
antar			inter-	
elektronik			electronic	
